City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Grand Forks,US,47.9417,-97.4337,73.78,73,100,3.44,overcast clouds
230,Dryden,CA,49.7833,-92.7503,59.29,82,100,11.5,thunderstorm
231,Znamenka,RU,52.4167,41.4311,50.83,95,98,6.2,overcast clouds
232,High Level,CA,58.5169,-117.136,58.69,36,48,12.39,scattered clouds
233,Airai,TL,-8.9266,125.4092,59.68,89,100,1.12,overcast clouds
234,Kahului,US,20.8947,-156.47,79.84,72,20,1.99,few clouds
235,Rajapalaiyam,IN,9.45,77.5667,81.86,67,59,6.24,broken clouds
236,Buzmeyin,TM,38.0507,58.2056,77.47,18,0,8.23,clear sky
237,Port Lincoln,AU,-34.7333,135.8667,57.15,74,100,24.32,light rain
238,Staryy Nadym,RU,65.6118,72.6842,48.83,40,12,21.09,few clouds
239,Pran Buri,TH,12.3847,99.9098,79.92,76,97,7.87,overcast clouds
240,Lakes Entrance,AU,-37.8811,147.981,39.16,79,50,5.88,scattered clouds
241,Saskylakh,RU,71.9167,114.0833,12.15,100,88,4.54,overcast clouds
242,Dongsheng,CN,39.8161,109.9776,52.7,26,1,9.46,clear sky
243,Eirunepe,BR,-6.6603,-69.8736,82.85,76,43,3.58,scattered clouds
244,Seoul,KR,37.5683,126.9778,65.59,56,40,3.4,scattered clouds
245,Pevek,RU,69.7008,170.3133,30.87,81,100,1.41,overcast clouds
246,Tiksi,RU,71.6872,128.8694,28.65,86,100,8.59,overcast clouds
247,Zhezkazgan,KZ,47.8043,67.7144,69.37,38,15,9.64,few clouds
248,Port Arthur,CN,38.8,121.2667,62.82,86,77,13.6,broken clouds
249,Gallup,US,35.5281,-108.7426,71.44,23,0,27.63,clear sky
250,Halifax,CA,44.6453,-63.5724,75.69,37,70,3.0,broken clouds
251,Nurobod,UZ,40.9056,69.8023,58.66,66,3,2.44,clear sky
252,Nouadhibou,MR,20.931,-17.0347,66.69,82,6,22.53,clear sky
253,San Quintin,MX,30.4833,-115.95,65.95,64,28,22.03,scattered clouds
254,Nome,US,64.5011,-165.4064,46.17,87,20,6.91,few clouds
255,Aklavik,CA,68.2191,-135.0107,39.2,87,100,5.75,light intensity drizzle
256,Nisia Floresta,BR,-6.0911,-35.2086,85.01,76,34,9.35,scattered clouds
257,Muros,ES,42.7762,-9.0603,66.09,82,63,3.74,broken clouds
258,Svetlaya,RU,46.5389,138.3297,46.02,96,88,7.9,overcast clouds
259,San Lawrenz,MT,36.0553,14.204,72.86,69,0,1.99,clear sky
260,Mangan,IN,27.5167,88.5333,74.08,92,91,0.81,overcast clouds
261,Cidreira,BR,-30.1811,-50.2056,62.53,90,100,11.18,overcast clouds
262,Half Moon Bay,US,37.4636,-122.4286,72.59,68,0,17.27,haze
263,Lavrentiya,RU,65.5833,-171.0,35.38,95,90,4.09,overcast clouds
264,Sitka,US,57.0531,-135.33,49.89,81,100,4.61,overcast clouds
265,Parla,ES,40.236,-3.7675,86.43,23,0,12.66,clear sky
266,Lorengau,PG,-2.0226,147.2712,80.01,80,34,1.97,scattered clouds
267,Enid,US,36.3956,-97.8784,94.01,47,75,33.38,broken clouds
268,Tucuma,BR,-0.1833,-50.05,82.33,75,93,4.21,overcast clouds
269,Vila,PT,42.0304,-8.1588,56.28,61,93,6.71,overcast clouds
